Rank,Name,Score
1,Calvin,1120
2,Calvin,750
3,Calvin,290
4,Calvin,280
5,Calvin,260
6,Calvin,250
7,Calvin,190
8,Calvin,90
9,Calvin,90
10,Calvin,60
